wbType,wbLevel,wbParentType,wbPath,wbHandleError,wbStatus,wbFinalExec,wbExceptionType,wbStart,wbParentStart,wbDurationSec,wbDurationHrs,message,level,wbKey,configError,optionalInfo
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:26:55,03/13/2018 15:26:52,0.7631449,0.00021225475,"Work Block Process QueueItem, simulate Ex successful",Info,a57db10a97c5f8093965387bfb52bff8,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 15:26:56,03/13/2018 15:26:52,0.6768124,0.000188280444444444,".Work Block Process QueueItem, simulate Ex failed with exception Simulated, BRE, specific message at Source System.Activities",Error,ad08919679f66954c6d76b53b198f602,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:26:57,03/13/2018 15:26:52,0.5327082,0.000148807361111111,"Work Block Process QueueItem, simulate Ex successful",Info,998ae3e3fe2b62eb12b9c89c5e62203d,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:26:58,03/13/2018 15:26:52,0.5182291,0.000144230888888889,"Work Block Process QueueItem, simulate Ex successful",Info,52a2220a924c6c3c5627f68b96e73124,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Failed,False,Exception,03/13/2018 15:26:59,03/13/2018 15:26:52,0.5611573,0.000155877027777778,".Work Block Process QueueItem, simulate Ex failed with exception Simulated AppEx, some message at Source System.Activities",Warn,2f195959f7fee09c7de959a9f0a4348b,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:00,03/13/2018 15:26:52,0.803016,0.00022306,"Work Block Process QueueItem, simulate Ex successful",Info,e4aa1a29a5ba91c3355c3f25eec002fc,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:01,03/13/2018 15:26:52,0.5452853,0.000151737222222222,"Work Block Process QueueItem, simulate Ex successful",Info,461c2bd49ec86e0dcc54d57453f312b1,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:02,03/13/2018 15:26:52,0.4953653,0.000137601472222222,"Work Block Process QueueItem, simulate Ex successful",Info,4af6b52170e0f6abb4eb1b7f1a933b17,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Failed,False,Exception,03/13/2018 15:27:03,03/13/2018 15:26:52,0.6172952,0.000171748194444444,".Work Block Process QueueItem, simulate Ex failed with exception Simulated AppEx, some message at Source System.Activities",Warn,4ab7d5884a6488f85d36e275701af071,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:04,03/13/2018 15:26:52,0.5687957,0.0001582765,"Work Block Process QueueItem, simulate Ex successful",Info,358aea975786ffed34a4d593e8620910,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:05,03/13/2018 15:26:52,0.560024,0.000155840611111111,"Work Block Process QueueItem, simulate Ex successful",Info,f2ea019e44a2d8c14f619659561e995e,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:06,03/13/2018 15:26:52,0.5124923,0.000142358972222222,"Work Block Process QueueItem, simulate Ex successful",Info,60d606703435c0b25c2b9956b4a5fa62,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Failed,False,Exception,03/13/2018 15:27:07,03/13/2018 15:26:52,0.5834857,0.000162079361111111,".Work Block Process QueueItem, simulate Ex failed with exception Simulated AppEx, some message at Source System.Activities",Warn,a70f5265efcb609021c822923d4b3f85,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:08,03/13/2018 15:26:52,0.5517879,0.000153552305555556,"Work Block Process QueueItem, simulate Ex successful",Info,d0702d7446ab28a7a5ee6abe68d4acd7,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:09,03/13/2018 15:26:52,0.5569862,0.000154718388888889,"Work Block Process QueueItem, simulate Ex successful",Info,4d445b85f2ffbc52d76255148012d996,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:10,03/13/2018 15:26:52,0.5663443,0.000157595333333333,"Work Block Process QueueItem, simulate Ex successful",Info,607240a2baedea9e83c3ce23c9b49f9c,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Failed,False,Exception,03/13/2018 15:27:11,03/13/2018 15:26:52,0.5901748,0.000164215722222222,".Work Block Process QueueItem, simulate Ex failed with exception Simulated AppEx, some message at Source System.Activities",Warn,bce317ddaab92fe9214f627ebefcf3b0,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:13,03/13/2018 15:26:52,0.5947052,0.000165474166666667,"Work Block Process QueueItem, simulate Ex successful",Info,3c11861cd556c82f49124840af252c4d,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:14,03/13/2018 15:26:52,0.494999,0.000137499722222222,"Work Block Process QueueItem, simulate Ex successful",Info,f981b16cd05d07d1a97605c4eb5a1726,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:14,03/13/2018 15:26:52,0.567333,0.000157870694444444,"Work Block Process QueueItem, simulate Ex successful",Info,f981b16cd05d07d1a97605c4eb5a1726,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Failed,False,Exception,03/13/2018 15:27:15,03/13/2018 15:26:52,0.5999744,0.000166937555555556,".Work Block Process QueueItem, simulate Ex failed with exception Simulated AppEx, some message at Source System.Activities",Warn,423f26ea77495e69319e197535f4653e,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:17,03/13/2018 15:26:52,0.6419993,0.000178611027777778,"Work Block Process QueueItem, simulate Ex successful",Info,f90bd3ba0c47ac9e2d8dbdc074dbaf49,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Failed,False,Exception,03/13/2018 15:27:18,03/13/2018 15:26:52,0.555191,0.000154219722222222,".Work Block Process QueueItem, simulate Ex failed with exception Simulated AppEx, some message at Source System.Activities",Warn,fd1cdafdf52a77ca2af9dfff8c0dd688,False,No info
"Process QueueItem, simulate Ex",1,Simple OrchestratorDemo,"Simple OrchestratorDemo|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:27:19,03/13/2018 15:26:52,0.5704763,0.000158743305555556,"Work Block Process QueueItem, simulate Ex successful",Info,b5c46f5bf66fb077ea3589aea5a5f12a,False,No info
Simple OrchestratorDemo,0,,Simple OrchestratorDemo,Failed,Finished with Exceptions,True,,03/13/2018 15:26:52,03/13/2018 15:26:52,28.3664547,0.00787984852777778,Work Block Simple OrchestratorDemo successful,Info,d8fe2ee2830e4ca67578c7b8bb027b19,False,No info
